"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,37161612,1,37447029
2019,34167605,1,34143052
2019,34167669,1,34143116
2019,34167670,1,34143117
2019,34167692,1,34143139
2019,34167691,1,34143138
2019,34167705,1,34143152
2019,34167732,1,34143179
2019,34167733,7,34143180
2019,34167740,1,34143187
2019,34167742,1,34143189
2019,37161611,1,37447028
2019,37161613,1,37447030
2019,34167783,1,34143230
2019,34167784,1,34143231
2019,34167786,1,34143233
2019,34167804,1,34143251
2019,34167848,1,34143295
2019,34167852,1,34143299
2019,34167853,1,34143300
2019,34167865,1,34143312
2019,34167866,1,34143313
2019,34167867,1,34143314
2019,34167887,1,34143334
2019,34167909,1,34143356
2019,34167959,1,34143406
2019,34167960,1,34143407
2019,34167961,1,34143408
2019,34167962,1,34143409
2019,34167963,1,34143410
2019,34167966,1,34143413
2019,34167990,1,34143437
2019,34168042,1,34143491
2019,34168080,1,34143529
2019,34168079,1,34143528
2019,34168202,1,34143651
2019,34168203,1,34143652
2019,34168201,1,34143650
2019,34168265,1,34143714
2019,34168267,1,34143716
2019,34168293,1,34143742
2019,34168368,1,34143817
2019,34168376,1,34143825
2019,34168409,1,34143858
2019,34168482,1,34143931
2019,34168483,1,34143932
2019,34168484,8,34143933
2019,34168498,1,34143947
2019,34216728,1,34192093
2019,34217132,1,34192497
2019,34217820,1,34193169
2019,36203469,1,36348950
2019,36203470,1,36348951
2019,36203485,1,36348966
2019,36203487,1,36348968
2019,36203486,1,36348967
2019,36203489,1,36348970
2019,36203490,1,36348971
2019,34167562,1,34143002
2019,34167637,1,34143084
2019,34167666,1,34143113
2019,34167671,1,34143118
2019,34167678,1,34143125
2019,34167699,1,34143146
2019,34167701,1,34143148
2019,34167734,1,34143181
2019,34167747,1,34143194
2019,34167748,1,34143195
2019,34167769,1,34143216
2019,34167798,1,34143245
2019,34167810,1,34143257
2019,34167811,1,34143258
2019,34167814,1,34143261
2019,36203522,1,36349003
2019,34167892,1,34143339
2019,34167893,1,34143340
2019,34167895,1,34143342
2019,34167898,1,34143345
2019,34167902,1,34143349
2019,36203543,1,36349024
2019,34167929,1,34143376
2019,34167928,1,34143375
2019,34167931,1,34143378
2019,34167935,1,34143382
2019,34167938,1,34143385
2019,34167967,1,34143414
2019,34168005,1,34143452
2019,34168047,1,34143496
2019,36203553,1,36349034
2019,36203552,1,36349033
2019,34168133,1,34143582
2019,34168182,1,34143631
2019,34168188,1,34143637
2019,34168189,1,34143638
2019,34168216,1,34143665
2019,34168228,1,34143677
2019,34168229,1,34143678
2019,36203568,1,36349049
2019,34168251,1,34143700
2019,34168259,1,34143708
2019,34168260,1,34143709
2019,36203572,1,36349053
2019,34168278,1,34143727
2019,34168288,1,34143737
2019,34168303,1,34143752
2019,34168302,1,34143751
2019,34168332,6,34143781
2019,34168335,1,34143784
2019,36203587,1,36349068
2019,36203589,1,36349070
2019,36203605,1,36349086
2019,34168457,1,34143906
2019,36203608,1,36349089
2019,36203609,1,36349090
2019,36203611,1,36349092
2019,36203612,1,36349093
2019,34239429,1,34209804
2019,34239432,1,34209807
2019,34259724,1,34230130
2019,34259725,1,34230131
2019,34259731,1,34230137
2019,34217688,1,34193037
2019,34294342,3,34284945
2019,34294343,3,34284946
2019,34294344,1,34284947
2019,34259706,1,34230112
2019,34259750,1,34230156
2019,34259749,1,34230155
2019,34259758,1,34230164
2019,34259755,1,34230161
2019,34259766,1,34230172
2019,34259850,1,34230256
2019,34247736,1,34223128
2019,34247735,1,34223127
2019,34247762,1,34223154
2019,34247824,1,34223216
2019,34247800,1,34223192
2019,34247827,1,34223219
2019,34247828,1,34223220
2019,34259704,1,34230110
2019,34238739,1,34209099
2019,34238737,7,34209097
2019,34239484,1,34209859
2019,34239485,1,34209860
2019,34216792,1,34192157
2019,34239419,2,34209794
2019,34216661,1,34192026
2019,34216664,1,34192029
2019,34216677,7,34192042
2019,34216741,1,34192106
2019,34216798,1,34192163
2019,34216829,1,34192194
2019,34216908,8,34192273
2019,34216923,1,34192288
2019,34216924,1,34192289
2019,34216925,1,34192290
2019,34216929,1,34192294
2019,34217018,1,34192383
2019,34217017,1,34192382
2019,34217022,1,34192387
2019,34217023,1,34192388
2019,34217059,7,34192424
2019,34217098,1,34192463
2019,34217097,1,34192462
2019,34217501,1,34192858
2019,34217546,7,34192901
2019,34217549,1,34192904
2019,34217709,1,34193058
2019,34217714,1,34193063
2019,34217718,1,34193067
2019,34217721,1,34193070
2019,34217722,1,34193071
2019,34217732,1,34193081
2019,34217731,1,34193080
2019,34217734,7,34193083
2019,34217736,1,34193085
2019,34217769,1,34193118
2019,34217792,1,34193141
2019,34217794,1,34193143
2019,34217798,1,34193147
2019,34217800,1,34193149
2019,34217822,1,34193171
2019,34217832,1,34193181
2019,34217835,1,34193184
2019,34217858,1,34193207
2019,34217890,1,34193239
2019,34217889,1,34193238
2019,34217897,1,34193246
2019,34234039,1,34204674
2019,34234041,1,34204676
2019,34234064,1,34204699
2019,34234062,1,34204697
2019,34234063,1,34204698
2019,31563771,1,31585026
2019,31553831,1,31575084
2019,31563782,1,31575085
2019,31558868,1,31575134
2019,31558878,1,31580117
2019,31558889,1,31575159
2019,31559063,1,31585234
2019,31559070,1,31575336
2019,31554135,1,31580351
2019,31573427,1,31609402
2019,31587320,1,31609417
2019,31587319,1,31603561
2019,31587336,1,31613543
2019,31587436,1,31613643
2019,31587441,1,31613647
2019,31587450,1,31613655
2019,31582438,1,31603639
2019,31587463,1,31613671
2019,31587479,1,31613686
2019,31587490,1,31613696
2019,31587491,1,31613697
2019,31573514,1,31609495
2019,31573513,1,31609494
2019,31582443,1,31609496
2019,31573523,1,31613726
2019,34343440,1,34349032
2019,35726355,1,35826704
2019,36354595,1,36495068
2019,36354619,1,36495092
2019,36354636,1,36495109
2019,36354637,1,36495110
2019,36354640,1,36495113
2019,36354639,1,36495112
2019,36354641,1,36495114
2019,36354642,1,36495115
2019,36354643,1,36495116
2019,36354655,1,36495128
2019,36354656,1,36495129
2019,36354657,1,36495130
2019,36354658,1,36495131
2019,36354668,1,36495141
2019,36354675,1,36495148
2019,31573123,1,31609113
2019,31573208,1,31613124
2019,31573235,1,31603372
2019,31587011,1,31613215
2019,31587012,1,31613216
2019,31573280,1,31609261
2019,31573292,1,31609276
2019,31587089,1,31613289
2019,31582337,1,31603545
2019,31587323,1,31613532
2019,31587327,1,31609420
2019,31587460,1,31613667
2019,31582448,1,31603652
2019,34253308,1,34218915
2019,34253309,3,34218916
2019,34253317,1,34218924
2019,34253319,3,34218926
2019,34253322,1,34218929
2019,34253323,1,34218930
2019,34253326,1,34218933
2019,34253328,1,34218935
2019,34253329,1,34218936
2019,34253330,1,34218937
2019,34253331,1,34218938
2019,34253332,1,34218939
2019,31563751,8,31580014
2019,31553812,1,31580037
2019,31558825,1,31580050
2019,31558831,1,31575088
2019,31559008,1,31580251
2019,31586694,1,31609076
2019,31586695,1,31603200
2019,31581999,1,31603207
2019,31586755,1,31612942
2019,31586758,1,31612946
2019,31582040,1,31612959
2019,31586789,1,31612980
2019,31586799,1,31612989
2019,31573177,1,31613037
2019,31586848,1,31603315
2019,31573281,1,31609262
2019,31587077,1,31613280
2019,31582113,1,31613079
2019,31587079,1,31613282
2019,31573286,1,31609268
2019,31586906,1,31613107
2019,31587086,1,31603410
2019,31586908,1,31613109
2019,31587087,1,31603411
2019,31587095,7,31603415
2019,31587100,1,31613297
2019,31587109,1,31613308
2019,31586911,1,31613111
2019,31586914,1,31613114
2019,31586945,1,31613146
2019,31586989,1,31613192
2019,31586993,1,31613196
2019,31573237,1,31609213
2019,31587001,1,31613203
2019,31587014,1,31613218
2019,36595714,1,36761477
2019,36595725,3,36761488
2019,36595726,1,36761489
2019,36595729,1,36761492
2019,36595792,3,36761555
2019,34172296,1,34147727
2019,34172352,1,34147783
2019,31563748,1,31585005
2019,31558818,1,31580034
2019,31553830,1,31575083
2019,31558828,1,31575082
2019,31553856,1,31580076
2019,31563805,1,31585056
2019,31553890,1,31575137
2019,31553892,1,31575140
2019,31558982,1,31580229
2019,31563918,1,31580235
2019,31559016,1,31585191
2019,31563985,1,31580310
2019,31563987,1,31585240
2019,31559083,1,31585254
2019,31559096,1,31580339
2019,31558826,1,31575079
2019,31563785,1,31585040
2019,31563820,1,31575135
2019,31558894,1,31575166
2019,31559084,1,31575346
2019,31563994,1,31575345
2019,31554129,1,31575359
2019,31559103,1,31575367
2019,31558796,6,31575048
2019,31553884,1,31580103
2019,31558863,1,31575128
2019,31553926,1,31580141
2019,31559007,1,31575277
2019,31563979,1,31575327
2019,31554099,1,31585241
2019,31559102,1,31575363
2019,34172415,1,34147846
2019,34172455,1,34147886
2019,34172469,1,34147900
2019,34172565,1,34147996
2019,34172585,1,34148016
2019,34172591,1,34148022
2019,34172601,1,34148032
2019,34172610,1,34148041
2019,34172640,1,34148071
2019,34172677,1,34148108
2019,34172676,1,34148107
2019,34172682,1,34148113
2019,34172687,1,34148118
2019,34172688,1,34148119
2019,34172735,1,34148166
2019,34172738,1,34148169
2019,34172769,1,34148200
2019,34172771,1,34148202
2019,34172770,1,34148201
2019,34172974,1,34148405
2019,34173210,1,34148641
2019,34173251,1,34148682
2019,34173317,1,34148748
2019,34173324,1,34148755
2019,34173335,1,34148766
2019,34173334,1,34148765
2019,34173351,1,34148782
2019,34173353,1,34148784
2019,34173473,1,34148904
2019,34173505,1,34148936
2019,34173506,1,34148937
2019,34169529,1,34144955
2019,34169538,1,34144964
2019,34169547,1,34144973
2019,34169594,1,34145020
2019,34169599,1,34145025
2019,34169605,1,34145031
2019,34169613,1,34145039
2019,34172830,1,34148261
2019,34173276,1,34148707
2019,34402631,1,34408283
2019,34402632,7,34408284
2019,35312575,1,35603884
2019,35312576,1,35603885
2019,35312577,1,35603886
2019,35312587,1,35603896
2019,35312588,1,35603897
2019,35312589,1,35603898
2019,35312592,1,35603901
2019,35312606,1,35603915
2019,35312609,1,35603918
2019,35312625,1,35603934
2019,35319552,7,35603987
2019,35319558,1,35603993
2019,31573088,1,31612890
2019,31581993,1,31612889
2019,31586707,1,31603201
2019,31573112,1,31603240
2019,31573138,1,31609127
2019,31582087,1,31613022
2019,31573175,1,31613030
2019,31573176,1,31613034
2019,31586879,1,31613072
2019,31582112,1,31613078
2019,31586922,1,31613122
2019,31573229,1,31613190
2019,31586992,1,31613195
2019,31586991,1,31613194
2019,31586990,1,31613193
2019,31587005,1,31613210
2019,31573279,1,31609259
2019,31582200,1,31603406
2019,31587328,8,31613537
2019,31587484,1,31613692
2019,31573515,1,31613706
2019,31587503,1,31613707
2019,31587516,1,31613722
2019,31587522,1,31613731
2019,31586834,1,31613020
2019,31582127,1,31603341
2019,31587094,1,31603413
2019,31587104,1,31613301
2019,31573303,1,31603421
2019,31573487,1,31613637
2019,31573491,1,31609477
2019,31587452,1,31613657
2019,31582449,1,31603653
2019,31573518,1,31613718
2019,34169509,1,34144935
2019,34169510,1,34144936
2019,34169572,1,34144998
2019,34169595,1,34145021
2019,34169598,1,34145024
2019,34169619,1,34145045
2019,34234275,1,34204919
2019,34234276,7,34204920
2019,34234289,1,34204933
2019,34234290,1,34214934
2019,34173709,1,34149141
2019,34173617,1,34149049
2019,34173705,1,34149137
2019,34173712,1,34149144
2019,34173719,1,34149151
2019,31563840,1,31580131
2019,31563845,1,31575174
2019,31559000,1,31585174
2019,31554092,1,31580307
2019,31559062,1,31585233
2019,31559098,1,31575357
2019,34172227,1,34147657
2019,34172228,1,34147658
2019,34172319,1,34147750
2019,34172332,1,34147763
2019,34172427,1,34147858
2019,34172444,1,34147875
2019,34172483,1,34147914
2019,34172484,1,34147915
2019,34172485,1,34147916
2019,34172560,1,34147991
2019,34172561,1,34147992
2019,34172571,1,34148002
2019,34172651,1,34148082
2019,34172870,1,34148301
2019,34173010,1,34148441
2019,34173062,1,34148493
2019,34173137,1,34148568
2019,34173136,1,34148567
2019,34173348,1,34148779
2019,34173386,1,34148817
2019,34173508,1,34148939
2019,34173509,1,34148940
2019,31573089,1,31612892
2019,31586697,1,31612891
2019,31581995,1,31603203
2019,31581996,1,31603204
2019,31586710,1,31609080
2019,31586712,1,31612903
2019,31586713,1,31603209
2019,31586714,1,31603210
2019,31586722,1,31609084
2019,31582013,1,31603220
2019,31586725,1,31612914
2019,31582018,1,31603223
2019,31573102,1,31603232
2019,31586749,1,31609099
2019,31582029,1,31603238
2019,31573109,1,31609102
2019,31573110,1,31603239
2019,31586753,1,31612941
2019,31586757,1,31612945
2019,31586761,1,31612949
2019,31582033,1,31612950
2019,31582044,1,31612971
2019,31586806,1,31609125
2019,34173657,1,34149089
2019,31582084,1,31609153
2019,34173656,1,34149088
2019,31582088,1,31603309
2019,31582089,1,31609157
2019,31582091,1,31603310
2019,31586846,1,31613036
2019,31586847,1,31603314
2019,34173662,1,34149094
2019,34173702,1,34149134
2019,31573192,1,31609172
2019,31586878,1,31613071
2019,31586881,1,31613074
2019,31582111,1,31613076
2019,31582118,1,31603334
2019,31586912,1,31609182
2019,31582126,1,31613112
2019,31586927,1,31613126
2019,31586938,1,31613137
2019,31582131,5,31609188
2019,31586957,1,31613155
2019,31586982,1,31609202
2019,31586986,1,31609204
2019,31586987,1,31613188
2019,31573234,1,31609210
2019,31586997,1,31609212
2019,31582167,1,31603379
2019,31587066,1,31609260
2019,31587068,1,31613272
2019,31587071,1,31613275
2019,31587073,1,31613277
2019,31587081,1,31613283
2019,31587082,1,31613284
2019,31582201,7,31603407
2019,31573285,1,31609267
2019,31587084,3,31613285
2019,31587085,1,31613286
2019,31587090,1,31613290
2019,31587091,1,31613291
2019,31582207,1,31609277
2019,31582208,1,31603416
2019,31573297,1,31609282
2019,31573298,1,31609285
2019,31582212,1,31609284
2019,31582214,1,31603422
2019,31573306,1,31603428
2019,31587110,1,31613309
2019,34171923,1,34147358
2019,31563744,1,31575051
2019,31558817,1,31580033
2019,31563781,1,31580052
2019,31553857,1,31580078
2019,31563865,1,31585108
2019,31563913,1,31575259
2019,31554023,1,31580232
2019,31563980,1,31585236
2019,31559068,1,31575332
2019,31554112,1,31580322
2019,31554134,1,31575368
