"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,119481930,36,500,,131806214
2019,119481941,60,550,,131806226
2019,119481953,23,1000,,131806240
2019,119481954,11,1,,131806242
2019,119481955,50,10,,131806243
2019,119481956,10,,,131806244
2019,119482996,10,,,131822462
2019,119481963,51,0,,131806261
2019,119481963,63,150,,131806262
2019,119481991,10,,,131806294
2019,119481992,61,597,,131806295
2019,119481993,11,1,,131806296
2019,119481994,21,2363,,131806297
2019,119481999,63,60,,131806303
2019,119481999,6,75,,131806302
2019,119482000,10,,,131806304
2019,119482015,13,700,,131806322
2019,125590874,11,25,,139523978
2019,125590874,10,,,139523977
2019,125590879,21,11000,,139523986
2019,125590881,63,1,,139523993
2019,125590881,8,71,,139523992
2019,125590881,61,674,,139523988
2019,125590881,6,165,,139523991
2019,125590881,21,200,,139523990
2019,125590881,20,374,,139523989
2019,117221375,20,1100,,128246382
2019,117221452,38,1000,,128246492
2019,117221453,3,1,,128246493
2019,117221454,7,2100,,128246494
2019,117224495,65,1,,128260560
2019,117224514,6,169,,128260584
2019,117224517,63,250,,128260587
2019,117224516,63,1,17-AUG-19,128260586
2019,117224515,63,800,,128260585
2019,117235213,3,10000,,128261452
2019,117235212,3,10000,10-JUL-19,128261451
2019,117235215,25,125,,128261454
2019,117235215,9,0,,128261457
2019,117235215,51,0,,128261456
2019,117235215,20,60,,128261455
2019,117235370,47,0,,128261647
2019,117236191,3,1,,128272657
2019,117236190,3,1,26-JAN-19,128272656
2019,117237376,63,300,,128274490
2019,117237391,63,200,,128274514
2019,117237435,6,60,,128274578
2019,117237435,20,4950,,128274577
2019,117237435,63,0,,128274579
2019,117237454,63,1000,,128274602
2019,117237455,3,1,29-MAY-19,128274603
2019,117237456,3,1,,128274604
2019,117237463,3,1,,128274612
2019,117237464,47,0,,128274613
2019,117237507,20,4875,,128274675
2019,117237510,51,0,,128274680
2019,117237510,9,0,,128274681
2019,117237510,20,15,,128274679
2019,117237510,25,30,,128274677
2019,117237510,36,20,,128274678
2019,117237540,3,100,,128274722
2019,117237544,6,500,,128274729
2019,117237576,63,1,,128274775
2019,117237590,38,1,,128274807
2019,117237590,3,1,,128274808
2019,117237636,3,1,,128274853
2019,117237637,4,500,,128274854
2019,117237772,61,500,,128275057
2019,117237776,3,1,09-MAY-19,128275060
2019,117237777,3,1,,128275061
2019,117237780,26,200,,128275064
2019,117237780,36,20,,128275065
2019,117237781,17,1300,,128275066
2019,117237790,61,200,,128275081
2019,117237797,22,0,,128275103
2019,117237797,25,100,,128275098
2019,117237797,51,0,,128275101
2019,117237797,47,0,,128275102
2019,117237797,7,75,,128275099
2019,117237797,26,40,,128275100
2019,117237797,9,0,,128275104
2019,117237833,3,1,,128275157
2019,117237835,3,1,,128275160
2019,117237853,47,0,,128275187
2019,117237855,20,100,,128275189
2019,117237945,38,1,,128275325
2019,117237946,3,1,,128275326
2019,117237973,63,1,,128275370
2019,117237979,3,1,,128275377
2019,117237981,36,300,,128275383
2019,117237981,7,3100,,128275382
2019,117237981,63,400,,128275384
2019,117237985,61,1200,,128275390
2019,117237988,61,1,,128275395
2019,117237991,25,50,,128275400
2019,117237991,4,300,,128275399
2019,117237991,36,400,,128275398
2019,117237993,25,10,,128275404
2019,117237993,51,0,,128275405
2019,117237993,61,100,,128275403
2019,117237993,20,215,,128275402
2019,117237996,38,1,,128275411
2019,117237999,20,1,,128275414
2019,117238079,3,1,,128275510
2019,117238082,25,500,,128275512
2019,117238082,22,0,,128275513
2019,117238087,61,1,,128275518
2019,117238087,25,1,,128275519
2019,117238087,9,0,,128275520
2019,117238087,20,750,,128275517
2019,117238146,36,2000,,128275612
2019,117238146,54,7000,,128275611
2019,117238146,64,1,,128275613
2019,117238146,3,1,,128275614
2019,117238149,47,0,,128275617
2019,117238151,6,50,,128275619
2019,117238171,10,1,,128275646
2019,117238171,20,150,,128275645
2019,117238171,51,0,,128275647
2019,117238171,9,0,,128275648
2019,117238193,36,150,,128275674
2019,117238198,61,950,,128275680
2019,117238199,63,0,,128275681
2019,117238211,63,0,,128275700
2019,117238266,26,50,,128275780
2019,117238266,17,7000,,128275779
2019,117238268,38,1,,128275781
2019,117238336,63,0,,128275877
2019,117238340,3,1,,128275881
2019,117238341,63,1,,128275882
2019,117238360,17,7500,,128275912
2019,117238364,9,0,,128275917
2019,117238364,61,800,,128275916
2019,117238371,26,1,,128275929
2019,117238374,51,0,,128275934
2019,117238374,47,0,,128275935
2019,117238374,9,0,,128275936
2019,117238374,25,1,,128275933
2019,117238407,3,1,,128275979
2019,117238419,17,1200,,128276002
2019,117238419,60,700,,128276005
2019,117238419,6,1000,,128276004
2019,117238419,7,1000,,128276003
2019,117238419,26,480,,128276006
2019,117238419,36,200,,128276007
2019,117238429,11,1,,128276019
2019,117238519,3,1,,128276138
2019,117238518,3,1,24-MAY-19,128276137
2019,117238522,51,0,,128276140
2019,117238528,20,48,,128276148
2019,117238529,17,1,,128276149
2019,117238539,20,21,,128276159
2019,117179628,47,0,,128191957
2019,117179631,36,1,,128191961
2019,117179631,57,1000,,128191960
2019,117179633,3,1,,128191963
2019,117179637,57,1,,128191968
2019,117362817,66,500,,128431747
2019,117375602,4,2500,,128450462
2019,117375602,25,1,,128450463
2019,117375602,51,0,,128450464
2019,117375602,9,0,,128450465
2019,117375603,13,330,,128450466
2019,117375603,36,270,,128450467
2019,117252405,63,100,,128286566
2019,117252408,36,15,,128286570
2019,117252408,4,150,,128286569
2019,117252410,36,15,,128286573
2019,117252410,47,0,,128286575
2019,117252410,20,6,,128286574
2019,117252414,61,800,,128286584
2019,117252415,42,1,,128286585
2019,117236762,17,2476,,128273532
2019,117236765,36,850,,128273541
2019,117236765,63,100,,128273542
2019,117236766,20,1,,128273543
2019,117236767,21,83,,128273544
2019,117236767,9,0,,128273548
2019,117236767,25,15,,128273545
2019,117236767,47,0,,128273547
2019,117236767,51,0,,128273546
2019,117236790,7,2300,,128273596
2019,117236790,17,5600,,128273595
2019,117236790,26,60,,128273598
2019,117236790,25,100,,128273597
2019,117236792,38,200,,128273600
2019,117236794,63,0,,128273601
2019,117236839,19,1,,128273662
2019,117236838,19,1,18-MAR-19,128273661
2019,117236841,6,119,,128273663
2019,117236877,6,244,27-MAR-19,128273712
2019,117236878,6,244,,128273713
2019,117236879,20,1,,128273714
2019,117236881,15,1500,,128273717
2019,117236883,25,590,,128273719
2019,117236885,3,1,,128273720
2019,117236887,51,0,,128273724
2019,117236887,20,101,,128273722
2019,117236887,25,1,,128273723
2019,117236887,9,0,,128273725
2019,117236905,3,1,,128273751
2019,117236907,3,1,,128273753
2019,117236908,36,1,,128273754
2019,117236911,6,1,,128273762
2019,117236910,63,200,,128273761
2019,117236914,3,1,,128273765
2019,117236920,61,1100,,128273774
2019,117236921,52,0,,128273775
2019,117236924,47,0,,128273778
2019,117236926,38,1,,128273781
2019,117236957,3,1,31-MAR-19,128273832
2019,117236958,3,1,,128273833
2019,117236961,9,0,,128273839
2019,117236961,63,250,,128273840
2019,117236962,38,7600,,128273841
2019,117236963,17,585,,128273843
2019,117236963,25,160,,128273845
2019,117236963,6,425,,128273844
2019,117236963,36,1,,128273848
2019,117236963,51,0,,128273849
2019,117236963,26,150,,128273846
2019,117236963,7,1240,,128273842
2019,117236963,62,80,,128273847
2019,117235668,4,350,01-AUG-19,128262004
2019,117235671,63,400,,128262009
2019,117235671,20,400,,128262007
2019,117235671,9,0,,128262008
2019,117235674,6,34,,128262012
2019,117235673,6,34,04-JUL-19,128262011
2019,117235677,36,56,,128262015
2019,117235683,38,150,,128262021
2019,117235686,20,20,,128262025
2019,117235686,36,20,,128262024
2019,117235690,63,424,,128262031
2019,117235689,63,424,05-AUG-19,128262030
2019,117235692,63,1,,128262033
2019,117235694,50,41,,128262035
2019,117235696,3,6500,04-AUG-19,128262037
2019,117235697,3,6500,,128262038
2019,117235704,63,20,,128262044
2019,117235706,25,10,,128262047
2019,117235706,20,100,,128262046
2019,117235708,38,1121,,128262049
2019,117235729,3,1000,,128262076
2019,117235728,3,1000,30-JUL-19,128262075
2019,117235730,54,10,,128262077
2019,117235784,20,6000,,128262135
2019,117235785,52,0,,128262136
2019,117235788,2,32,,128262139
2019,117235788,63,9,,128262140
2019,117235790,6,20,28-JUL-19,128262142
2019,117235791,6,20,,128262143
2019,117236131,62,1,,128272559
2019,117236130,62,1,08-JUL-19,128272558
2019,117236143,20,140,,128272574
2019,117236143,19,99,,128272575
2019,117236142,19,99,27-JUN-19,128272573
2019,117236146,63,525,,128272578
2019,117236149,63,20,,128272581
2019,117236148,63,1,,128272580
2019,117236152,63,1,,128272584
2019,117236159,3,1,,128272602
2019,117236159,45,1,,128272595
2019,117236159,25,1,,128272599
2019,117236159,17,1,,128272601
2019,117236159,23,1,,128272600
2019,117236159,61,1,,128272594
2019,117236159,27,1,,128272597
2019,117236159,38,1,,128272596
2019,117236159,63,4,,128272603
2019,117236159,26,1,,128272598
2019,117236160,3,200,,128272604
2019,117236193,38,200,,128272658
2019,117236208,6,300,,128272680
2019,117236208,23,86,,128272683
2019,117236208,42,27,,128272684
2019,117236208,3,1,,128272685
2019,117236208,26,138,,128272681
2019,117236208,16,106,,128272682
2019,117236208,36,2459,,128272679
2019,117236208,63,3230,,128272686
2019,117236210,36,27,,128272690
2019,117236210,26,979,,128272688
2019,117236210,6,480,,128272689
2019,117236210,63,31,,128272691
2019,117236212,3,1,,128272693
2019,117236239,3,1,04-MAR-19,128272743
2019,117236240,3,1,,128272744
2019,117236241,2,53,,128272745
2019,117236246,21,1600,,128272749
2019,117236248,20,200,,128272750
2019,117236248,17,1,,128272751
2019,117236273,61,1,,128272781
2019,117236273,20,40,,128272780
2019,117236297,51,0,,128272817
2019,117236297,25,10,,128272816
2019,117236297,9,0,,128272818
2019,117236297,20,100,,128272815
2019,117236297,61,900,,128272814
2019,117236299,16,1000,,128272822
2019,117236301,63,1,,128272831
2019,117236301,60,1,,128272829
2019,117236301,36,50,,128272828
2019,117236301,26,2300,,128272827
2019,117236301,51,0,,128272830
2019,117236317,4,1800,,128272859
2019,117236318,3,1,,128272860
2019,117236321,38,1,,128272863
2019,117236350,20,3580,,128272900
2019,117236416,9,0,,128272997
2019,117236420,3,1,,128273004
2019,117236419,3,1,20-MAR-19,128273003
2019,117236448,13,1,,128273053
2019,117524901,10,,,128638607
2019,117524891,61,800,,128638595
2019,117237890,25,60,,128275246
2019,117237895,47,0,,128275257
2019,117237895,51,0,,128275256
2019,117237895,25,100,,128275253
2019,117237895,61,50,,128275254
2019,117237895,20,10,,128275255
2019,117237896,4,1550,,128275258
2019,117238385,36,119,,128275949
2019,117238387,3,1,,128275951
2019,117249755,63,90,,128282895
2019,117250033,3,400,,128283253
2019,117250631,63,95,,128284260
2019,117252404,4,1800,,128286565
2019,117252403,36,40,,128286564
2019,117362596,20,1434,,128431393
