"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,129457922,4
2019,128597744,4
2019,128597756,4
2019,128666184,5
2019,128665792,5
2019,128665960,4
2019,128665964,4
2019,128665998,5
2019,128666185,4
2019,128666339,5
2019,128666338,5
2019,128666340,5
2019,128666385,5
2019,128693834,5
2019,128872958,5
2019,128873048,4
2019,128873051,4
2019,128873069,5
2019,128873073,5
2019,128873124,5
2019,128873123,4
2019,128873128,5
2019,129097154,4
2019,129097108,6
2019,129097110,5
2019,129097273,4
2019,129097269,5
2019,129113033,4
2019,129182359,5
2019,129264843,4
2019,128666265,5
2019,128597653,6
2019,128597851,4
2019,128608047,5
2019,128710133,5
2019,128666356,4
2019,128665900,5
2019,128665897,4
2019,128709760,4
2019,128709760,2
2019,128710195,5
2019,128709907,4
2019,128710309,4
2019,128710403,4
2019,128710419,4
2019,128710132,5
2019,128710514,6
2019,128711220,4
2019,128711340,5
2019,128711341,4
2019,128711348,5
2019,128711352,5
2019,128711356,5
2019,128860496,5
2019,128872961,6
2019,128873018,4
2019,128873227,4
2019,128873019,5
2019,128873163,4
2019,128908460,5
2019,128873131,5
2019,130070296,4
2019,129182388,4
2019,129252806,5
2019,129112908,8
2019,129112908,6
2019,129182389,4
2019,129212751,5
2019,129212747,5
2019,129212749,5
2019,129212752,4
2019,129212750,5
2019,129212748,5
2019,130761464,5
2019,130761500,5
2019,129252731,4
2019,129252731,2
